date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-08 21:18:19,BarackObama,,5092,28835,255285,"Through centuries of persecution, exile and struggle, the story of Passover has reminded the Jewish people––and all of humanity––of the power to overcome even the greatest of odds. Michelle and I send our warmest wishes to those celebrating with loved ones at home or virtually.",,,,1247997223360704512,https://twitter.com/BarackObama/status/1247997223360704512
2020-04-08 14:15:54,BarackObama,,9067,45096,202037,"Social distancing bends the curve and relieves some pressure on our heroic medical professionals. But in order to shift off current policies, the key will be a robust system of testing and monitoring – something we have yet to put in place nationwide.",,,,1247890918440448003,https://twitter.com/BarackObama/status/1247890918440448003
2020-04-07 18:40:15,BarackObama,,2130,9785,85542,"My advisor and friend @cecmunoz has been someone I’ve turned to for years. In her new book, More Than Ready, she shares her story and an empowering message to women, especially women of color, that they are the leaders we need to make a change in our world.",,@cecmunoz,,1247595056875425794,https://twitter.com/BarackObama/status/1247595056875425794
2020-04-07 16:02:23,BarackObama,,10325,107384,598505,"It’s World Health Day, and we owe a profound debt of gratitude to all our medical professionals. They’re still giving their all for us every day, at great risk to themselves, and we can’t thank them enough for their bravery and their service.",,,,1247555328365023238,https://twitter.com/BarackObama/status/1247555328365023238
2020-04-06 22:54:01,BarackObama,,1730,9666,83011,"Bill Withers was a true American master. His music, rooted in the everyday joys and sorrows of working people, was soulful, wise and life-affirming––a perfect tonic for hard times.",,,,1247296532623261697,https://twitter.com/BarackObama/status/1247296532623261697
2020-04-06 18:45:29,BarackObama,,5262,42569,185302,"As she often does, @SenWarren provides a cogent summary of how federal policymakers should be thinking about the pandemic in the coming months.",,@SenWarren,,1247233987304660993,https://twitter.com/BarackObama/status/1247233987304660993
2020-04-01 14:47:48,BarackObama,,5781,30802,135479,"It's Census Day and we all have a crucial role to play. Filling out the 2020 Census determines what the next decade will look like for your community: your roads, health care, schools, representation and more. Takes a few minutes by mail, phone or online. http://my2020census.gov/",,,,1245362232931880960,https://twitter.com/BarackObama/status/1245362232931880960
2020-03-31 15:19:04,BarackObama,,39494,91577,342795,"We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more consequences of climate denial. All of us, especially young people, have to demand better of our government at every level and vote this fall.",,,,1245007713387544576,https://twitter.com/BarackObama/status/1245007713387544576
2020-03-30 17:03:55,BarackObama,,5026,27411,171452,"So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of them. This inspiring kid has been gathering supplies from hotels to donate to the medical professionals at his local hospital.",,,,1244671710198104064,https://twitter.com/BarackObama/status/1244671710198104064
2020-03-28 19:56:14,BarackObama,,522,2665,27517,"We are grateful for what he did for this country. He carried the baton longer and surer than almost anybody. It falls to the rest of us now to pick it up and never stop moving forward until we finish what he started—that journey to justice.",,,,1243990301175353345,https://twitter.com/BarackObama/status/1243990301175353345
2020-03-28 19:56:14,BarackObama,,588,3729,35691,"What a joy it was to watch him pray and preach. I took heart in him saying, “We ain’t going back. We’ve come too far, marched too long, prayed too hard, wept too bitterly, bled too profusely, and died too young to let anybody turn back the clock on our journey to justice.”",,,,1243990300009402368,https://twitter.com/BarackObama/status/1243990300009402368
2020-03-28 19:56:13,BarackObama,,2252,14591,135645,"Rev. Joseph Lowery was a giant who let so many of us stand on his shoulders. With boundless generosity, patience, and moral courage, he encouraged a new generation of activists and leaders. Michelle and I remember him fondly today, and our love and prayers are with his family.",,,,1243990296385466368,https://twitter.com/BarackObama/status/1243990296385466368
